genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 22.77344284736482
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 22.77344284736482
PRUNUS "KWANZAN FLOWERING CHERRY" 2 4 22.78986995208761
PRUNUS "KWANZAN FLOWERING CHERRY" 1 9.5 22.64476386036961
PRUNUS "KWANZAN FLOWERING CHERRY" 2 11 17.746748802190282
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.66050650239562
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6 21.949349760438057
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6 21.949349760438057
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6 21.949349760438057
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5.5 20.659822039698838
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4 20.79397672826831
PRUNUS "KWANZAN FLOWERING CHERRY" 1 11 20.79397672826831
PRUNUS "KWANZAN FLOWERING CHERRY" 1 9.75 20.79397672826831
PRUNUS "KWANZAN FLOWERING CHERRY" 1 12.5 23.770020533880903
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5 12.774811772758385
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 9.702943189596168
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 9.533196440793978
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.865160848733744
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4.5 9.514031485284052
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.950034223134839
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4.5 8.941820670773442
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.930869267624914
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.952772073921972
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.941820670773442
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.971937029431896
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 9.505817932922655
